Algorithm,Colors,Success,Time (s),Steps
Hill Climbing,2,False,0.106989378,10000
Hill Climbing,3,False,0.134445938,10000
Hill Climbing,4,True,0.001367929,≤ 10000
Hill Climbing,5,True,0.000644187,≤ 10000
Hill Climbing,6,True,0.000771691,≤ 10000
Hill Climbing,7,True,0.000777815,≤ 10000
Hill Climbing,8,True,0.001373818,≤ 10000
Hill Climbing,9,True,0.002362852,≤ 10000
Hill Climbing,10,True,1.1866e-05,≤ 10000
Min-Conflicts,2,False,0.137931967,10000
Min-Conflicts,3,True,0.000266308,≤ 10000
Min-Conflicts,4,True,0.000219906,≤ 10000
Min-Conflicts,5,True,0.000191196,≤ 10000
Min-Conflicts,6,True,0.000153556,≤ 10000
Min-Conflicts,7,True,0.00013837,≤ 10000
Min-Conflicts,8,True,8.4847e-05,≤ 10000
Min-Conflicts,9,True,0.000166641,≤ 10000
Min-Conflicts,10,True,9.6636e-05,≤ 10000
